,Stocks,Sector,Link
143,CG Power & Industrial Solutions,Technology,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
147,Coforge,Technology,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
149,Container Corporation Of India,Transportation,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
150,Coromandel International,Basic Materials,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
152,Cummins India,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
155,Dalmia Bharat,Capital Goods,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
156,Deepak Nitrite,Basic Materials,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
157,Delhivery,Services,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
159,Dixon Technologies (India),Consumer Cyclical,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
161,Dr. Lal Pathlabs,Healthcare,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
163,Emami,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
164,Endurance Technologies,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
165,FSN E-Commerce Ventures,Services,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
168,General Insurance Corporation Of India,Financial,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
169,Gland Pharma,Healthcare,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
170,Glaxosmithkline Pharmaceuticals,Healthcare,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
174,Gujarat Fluorochemicals,Basic Materials,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
175,Gujarat Gas Company,Utilities,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
177,HDFC Asset Management Company,Financial,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
183,Hindustan Aeronautics,Capital Goods,https://www.livemint.com/market/s-p-bse-200-stocks-I0008
