URL, Sector,Industry,Ticker,NSE_Ticker,BSE_Ticker,Company Name
https://www.screener.in/company/BPCL/, Realty ,Construction ,BPCL,BPCL.NS,BPCL.BO,Bharat Petroleum Corporation Limited
https://www.screener.in/company/BRIGADE/, FMCG ,Food - Processing - MNC ,BRIGADE,BRIGADE.NS,BRIGADE.BO,Brigade Enterprises Limited
https://www.screener.in/company/BRITANNIA/, Financial Services ,Miscellaneous ,BRITANNIA,BRITANNIA.NS,BRITANNIA.BO,Britannia Industries Limited
https://www.screener.in/company/BSE/, IT - Software ,Computers - Software - Medium / Small ,BSE,BSE.NS,BSE.BO,BSE Limited
https://www.screener.in/company/BSOFT/, Financial Services ,Miscellaneous ,BSOFT,BSOFT.NS,BSOFT.BO,Birlasoft Limited
https://www.screener.in/company/CAMS/, Banks ,Banks - Public Sector ,CAMS,CAMS.NS,CAMS.BO,Precision Camshafts Limited
https://www.screener.in/company/CANBK/, Finance ,Finance & Investments ,CANBK,CANBK.NS,CANBK.BO, Canara Bank
https://www.screener.in/company/CAPTRUST/, Capital Goods-Non Electrical Equipment ,Abrasives And Grinding Wheels ,CAPTRUST,CAPTRUST.NS,CAPTRUST.BO,Capital Trust Limited
https://www.screener.in/company/CARBORUNIV/, Chemicals ,Chemicals ,CARBORUNIV,CARBORUNIV.NS,CARBORUNIV.BO,Carborundum Universal Limited
https://www.screener.in/company/CASTROLIND/, Financial Services ,Miscellaneous ,CASTROLIND,CASTROLIND.NS,CASTROLIND.BO,Castrol India Limited
https://www.screener.in/company/CDSL/, Banks ,Banks - Public Sector ,CDSL,CDSL.NS,CDSL.BO,Central Depository Services (India) Limited
https://www.screener.in/company/CENTRALBK/, Paper ,Paper ,CENTRALBK,CENTRALBK.NS,CENTRALBK.BO,Central Bank of India
https://www.screener.in/company/CENTURYTEX/, Power Generation & Distribution ,Power Generation And Supply ,CENTURYTEX,CENTURYTEX.NS,CENTURYTEX.BO,Aditya Birla Real Estate Limited
https://www.screener.in/company/CESC/, Capital Goods - Electrical Equipment ,Electric Equipment ,CESC,CESC.NS,CESC.BO,CESC Limited
https://www.screener.in/company/CGPOWER/, Hotels & Restaurants ,Hotels ,CGPOWER,CGPOWER.NS,CGPOWER.BO,CG Power and Industrial Solutions Limited
https://www.screener.in/company/CHALET/, Fertilizers ,Fertilizers ,CHALET,CHALET.NS,CHALET.BO,Chalet Hotels Limited
https://www.screener.in/company/CHAMBLFERT/, Refineries ,Refineries ,CHAMBLFERT,CHAMBLFERT.NS,CHAMBLFERT.BO,Chambal Fertilisers and Chemicals Limited
https://www.screener.in/company/CHENNPETRO/, Finance ,Finance & Investments ,CHENNPETRO,CHENNPETRO.NS,CHENNPETRO.BO,Chennai Petroleum Corporation Limited
https://www.screener.in/company/CHOLAFIN/, Finance ,Finance & Investments ,CHOLAFIN,CHOLAFIN.NS,CHOLAFIN.BO,Cholamandalam Investment and Finance Company Limited
